 decodeOneMessage144(): 0,000067 seg 
 decodeOneMessage144(): 0,000052 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000044 seg 
 decodeOneMessage144(): 0,000035 seg 
 decodeOneMessage144(): 0,000053 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000034 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000044 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000071 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000035 seg 
 decodeOneMessage144(): 0,000035 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000011 seg 
 decodeOneMessage144(): 0,000041 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000043 seg 
 decodeOneMessage144(): 0,000097 seg 
 decodeOneMessage144(): 0,000041 seg 
 decodeOneMessage144(): 0,000053 seg 
 decodeOneMessage144(): 0,000038 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000039 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000071 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000041 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000052 seg 
 decodeOneMessage144(): 0,000043 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000063 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000035 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000035 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000034 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000014 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000054 seg 
 decodeOneMessage144(): 0,000064 seg 
 decodeOneMessage144(): 0,000037 seg 
 decodeOneMessage144(): 0,000055 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000038 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000041 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000046 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000013 seg 
 decodeOneMessage144(): 0,000014 seg 
 decodeOneMessage144(): 0,000014 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000056 seg 
 decodeOneMessage144(): 0,000050 seg 
 decodeOneMessage144(): 0,000037 seg 
 decodeOneMessage144(): 0,000060 seg 
 decodeOneMessage144(): 0,000049 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000064 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000054 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000015 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000015 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000084 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000044 seg 
 decodeOneMessage144(): 0,000044 seg 
 decodeOneMessage144(): 0,000045 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000048 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000040 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000039 seg 
 decodeOneMessage144(): 0,000038 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000038 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000044 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000058 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000037 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000034 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000034 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000047 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000034 seg 
 decodeOneMessage144(): 0,000041 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000063 seg 
 decodeOneMessage144(): 0,000040 seg 
 decodeOneMessage144(): 0,000047 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000013 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000034 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000047 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000056 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000059 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000015 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000065 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000013 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000039 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000089 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000039 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000044 seg 
 decodeOneMessage144(): 0,000014 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000128 seg 
 decodeOneMessage144(): 0,000060 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000035 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000176 seg 
 decodeOneMessage144(): 0,000043 seg 
 decodeOneMessage144(): 0,000049 seg 
 decodeOneMessage144(): 0,000081 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000042 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000037 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000013 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000048 seg 
 decodeOneMessage144(): 0,000040 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000086 seg 
 decodeOneMessage144(): 0,000061 seg 
 decodeOneMessage144(): 0,000049 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000049 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000051 seg 
 decodeOneMessage144(): 0,000043 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000055 seg 
 decodeOneMessage144(): 0,000044 seg 
 decodeOneMessage144(): 0,000044 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000041 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000034 seg 
 decodeOneMessage144(): 0,000020 seg 
