 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000033 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000085 seg 
 t145toFIX(): 0,000047 seg 
 t145toFIX(): 0,000042 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000047 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000040 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000045 seg 
 t145toFIX(): 0,000077 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000048 seg 
 t145toFIX(): 0,000030 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000049 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000040 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000033 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000030 seg 
 t145toFIX(): 0,000091 seg 
 t145toFIX(): 0,000066 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000032 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000032 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000044 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000042 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000015 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000015 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000041 seg 
 t145toFIX(): 0,000034 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000117 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000039 seg 
 t145toFIX(): 0,000032 seg 
 t145toFIX(): 0,000054 seg 
 t145toFIX(): 0,000034 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000030 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000045 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000032 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000034 seg 
 t145toFIX(): 0,000030 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000030 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000036 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000051 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000060 seg 
 t145toFIX(): 0,000037 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000030 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000030 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000014 seg 
 t145toFIX(): 0,000012 seg 
 t145toFIX(): 0,000012 seg 
 t145toFIX(): 0,000012 seg 
 t145toFIX(): 0,000013 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000051 seg 
 t145toFIX(): 0,000044 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000033 seg 
 t145toFIX(): 0,000040 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000043 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000035 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000034 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000015 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000040 seg 
 t145toFIX(): 0,000042 seg 
 t145toFIX(): 0,000033 seg 
 t145toFIX(): 0,000041 seg 
 t145toFIX(): 0,000036 seg 
 t145toFIX(): 0,000048 seg 
 t145toFIX(): 0,000036 seg 
 t145toFIX(): 0,000030 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000047 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000014 seg 
 t145toFIX(): 0,000013 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000048 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000038 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000091 seg 
 t145toFIX(): 0,000035 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000033 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000013 seg 
 t145toFIX(): 0,000012 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000041 seg 
 t145toFIX(): 0,000040 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000061 seg 
 t145toFIX(): 0,000058 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000033 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000043 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000052 seg 
 t145toFIX(): 0,000060 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000021 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000015 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000051 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000045 seg 
 t145toFIX(): 0,000054 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000032 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000030 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000029 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000045 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000017 seg 
 t145toFIX(): 0,000027 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000033 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000014 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000019 seg 
 t145toFIX(): 0,000015 seg 
 t145toFIX(): 0,000013 seg 
 t145toFIX(): 0,000020 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000033 seg 
 t145toFIX(): 0,000055 seg 
 t145toFIX(): 0,000031 seg 
 t145toFIX(): 0,000028 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000018 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000025 seg 
 t145toFIX(): 0,000034 seg 
 t145toFIX(): 0,000039 seg 
 t145toFIX(): 0,000032 seg 
 t145toFIX(): 0,000023 seg 
 t145toFIX(): 0,000024 seg 
 t145toFIX(): 0,000022 seg 
 t145toFIX(): 0,000016 seg 
 t145toFIX(): 0,000026 seg 
 t145toFIX(): 0,000019 seg 
